id,slide,author,date,symbol,direction,setup_label,tod_et,session_phase,level_price_cited,level_price,level_type,level_detail,level_age_days,level_touch_count,level_dist_from_extreme_atr,level_pierced,day_open,day_high,day_low,day_close,prior_close,atr14_daily,atr_pct_of_price,ext_from_open_atr,ext_from_prior_close_atr,ext_from_hod_lod_atr,gap_pct,day_pct,consecutive_dir_days,bb_pos_prior,bb_traversal_days,pct_off_swing_extreme_60d,daily_range_expansion,rvol_daily,vol_vs_prior_day,capitulation_flag,close_vs_50sma_pct,close_vs_200sma_pct,move_pct_1d,move_atr_1d,move_pct_3d,move_atr_3d,move_pct_5d,move_atr_5d,spy_close_vs_20sma_pct,spy_close_vs_50sma_pct,spy_above_20sma,spy_above_50sma,spy_20d_range_pct,spy_regime,spy_day_pct,spy_gap_pct,qqq_close_vs_20sma_pct,qqq_close_vs_50sma_pct,qqq_above_20sma,qqq_above_50sma,qqq_20d_range_pct,qqq_regime,qqq_day_pct,qqq_gap_pct,sector_proxy,proxy_close_vs_20sma_pct,proxy_close_vs_50sma_pct,proxy_above_20sma,proxy_above_50sma,proxy_20d_range_pct,proxy_regime,proxy_day_pct,proxy_gap_pct,vix_close,vix_change_pct,vix_vs_20sma_pct,vix_bucket,daily_extreme,intraday_source,ext_time_et,ext_price_intraday,ext_matches_daily_extreme,opening_print,vwap_at_extension,vwap_dist_at_ext_atr,entry_ref_price,entry_ref_time_et,entry_slippage_from_ext_atr,structural_stop,risk_per_share,risk_as_pct_atr,stopped_out,mfe_R,mae_R,mfe_R_perfect_entry,time_to_mfe_min,r_at_vwap,r_at_opening_print,r_at_close,vol_first_30m,spread_at_ext,r_at_intraday_swing,r_at_overnight_swing,rvol_first_30m,year_confidence,notes_cited
E01,2,Elijah,2026-07-07,SNDK,long,Daily OE Long + Extension into Key Support,10:30,morning,1500.0,1500.0,round,prior daily high/low,19,15,0.027,True,1619.28,1638.88,1485.02,1617.7,1744.43,231.27,13.26,0.543,1.084,0.665,-7.17,-7.26,3,0.262,7,-36.93,0.92,1.25,1.6,False,-0.46,127.2,-14.37,1.08,-26.5,2.33,-27.15,2.41,0.86,1.26,True,True,5.6,uptrend,-0.48,-0.14,-1.51,-0.16,False,False,7.58,range,-1.85,-1.2,SMH,-5.91,-0.07,False,False,18.52,range,-3.78,-4.02,16.21,3.45,-9.28,15-20,1485.02,liberator_minute,10:40,1493.76,True,1619.29,1569.58,0.328,1499.0,10:44,0.023,1470.63,28.37,12.3,False,4.34,0.4,5.55,313.0,2.09,4.24,4.24,2236519.0,1.197,4.34,8.31,2.48,stated,4 consecutive red days; -35% & 4 ATRs in 5 days; upper to lower BB in 8 days
E02,3,Elijah,2026-06-29,SOXL,long,Volatility in Range,10:15,morning,,185.66,MA,SMA50,,,0.152,False,216.36,238.65,192.3,236.52,215.6,43.81,20.32,0.549,0.532,1.058,0.35,9.7,1,0.322,5,-36.32,1.59,0.86,0.94,False,27.39,183.58,-10.81,0.53,-16.23,0.85,-36.06,2.48,-0.38,0.89,False,True,6.12,range,1.65,1.03,-0.21,2.98,False,True,8.04,range,2.49,1.06,SMH,1.85,11.41,True,True,18.22,uptrend,3.33,0.56,17.54,-5.34,-2.5,15-20,192.3,liberator_minute,10:17,192.3,True,216.36,208.23,0.364,195.25,10:18,0.067,187.92,7.33,16.7,False,5.92,0.4,10.58,268.0,1.55,2.88,5.63,6032312.0,0.223,5.75,10.47,1.38,stated,-30% in 3 days
E03,4,Elijah,2026-06-25,SOXL,long,Volatility in Range,10:00,morning,226.0,238.15,MA,SMA20,,,0.285,True,268.05,268.4,225.74,252.61,229.57,43.54,18.97,0.972,0.088,0.98,16.76,10.04,2,0.442,3,-25.25,1.48,1.01,1.02,False,40.31,210.24,-1.67,0.09,-24.95,1.72,-3.48,0.19,-1.51,0.19,False,True,4.97,range,0.14,0.77,-1.5,2.37,False,True,8.04,range,0.81,2.15,SMH,3.04,13.63,True,True,18.22,uptrend,2.9,4.92,19.06,-2.31,7.47,15-20,225.74,liberator_minute,09:59,225.73,True,268.05,247.54,0.501,230.13,10:00,0.101,221.38,8.75,20.1,False,3.39,0.45,7.83,138.0,1.65,4.33,2.68,12998781.0,0.264,2.69,0.13,2.93,stated,1 ATR extension from open; 226 from broad market selloff day; held above on 3 tries
E04,5,Elijah,2026-06-25,IBIT,long,Extension into Key Support,10:00,morning,,34.96,MA,SMA5,,,1.449,True,34.6,34.66,32.84,33.52,33.87,1.47,4.34,1.204,0.707,1.238,2.16,-1.03,2,0.175,,-29.47,1.86,1.39,0.88,False,-18.87,-31.31,-3.07,0.71,-10.05,2.5,-9.71,2.4,-1.51,0.19,False,True,4.97,range,0.14,0.77,-1.5,2.37,False,True,8.04,range,0.81,2.15,IBIT,-9.47,-18.87,False,False,30.02,downtrend,-1.03,2.16,19.06,-2.31,7.47,15-20,32.84,liberator_minute,09:59,32.83,True,34.6,33.72,0.605,32.99,10:00,0.109,32.68,0.31,20.9,False,3.84,0.18,9.11,33.0,2.02,5.24,1.68,12676246.0,0.009,2.08,4.14,3.07,stated,1 ATR extension from open
E05,6,Elijah,2026-04-07,AAPL,long,Volatility in Range,11:00,late_morning,246.0,246.0,pivot,prior daily high/low,4,11,0.058,True,256.15,256.2,245.7,253.5,258.86,5.31,2.05,1.971,2.48,1.977,-1.04,-2.07,0,0.815,,-12.53,2.05,1.57,2.12,True,-2.76,1.36,-5.09,2.48,-3.89,1.87,-0.38,0.18,0.28,-2.37,True,False,8.59,range,0.04,-0.35,0.12,-2.21,True,False,10.38,range,0.02,-0.49,QQQ,0.12,-2.21,True,False,10.38,range,0.02,-0.49,26.01,7.61,0.26,>25,245.7,liberator_minute,11:02,245.69,True,256.42,249.34,0.687,246.09,11:06,0.075,245.16,0.93,17.5,False,8.08,0.18,14.92,293.0,2.95,11.1,7.95,8005224.0,0.025,8.08,14.67,2.63,stated,>1.5 ATR extension from open; sold off on foldable iPhone delay reports
E06,7,Elijah,2025-11-21,BE,long,Extension into 100-SMA,10:45,late_morning,,72.38,MA,SMA100,,,0.229,False,94.02,94.5,76.0,89.99,93.38,15.82,16.94,1.139,1.098,1.169,0.69,-3.63,1,0.003,14,-48.6,1.3,2.48,1.86,False,-13.2,92.77,-18.61,1.1,-27.6,1.83,-32.08,2.27,-2.28,-1.57,False,False,5.97,range,1.0,0.39,-4.11,-2.93,False,False,9.69,range,0.75,0.31,SPY,-2.28,-1.57,False,False,5.97,range,1.0,0.39,23.74,-9.94,21.52,20-25,76.0,liberator_minute,10:45,76.0,True,94.02,84.13,0.514,78.5,10:46,0.158,74.42,4.08,25.8,False,3.04,0.47,9.43,303.0,1.1,3.8,2.81,5369309.0,0.242,3.04,4.61,4.59,stated,-49% off highs in 10 days; volume capitulation 2x prior day
E07,8,Elijah,2025-11-21,PLTR,long,Extension into Key Support,11:00,late_morning,148.0,148.0,pivot,prior daily high/low,56,19,0.038,True,156.01,158.11,147.56,154.85,155.75,11.86,7.62,0.713,0.691,0.889,0.17,-0.57,4,-0.018,14,-28.89,1.16,1.25,0.91,False,-14.41,10.58,-5.26,0.69,-11.82,1.67,-15.21,2.23,-2.28,-1.57,False,False,5.97,range,1.0,0.39,-4.11,-2.93,False,False,9.69,range,0.75,0.31,QQQ,-4.11,-2.93,False,False,9.69,range,0.75,0.31,23.74,-9.94,21.52,20-25,147.56,liberator_minute,11:05,147.55,True,155.99,153.05,0.464,148.36,11:06,0.068,146.36,2.0,16.8,False,4.88,0.4,8.9,204.0,2.15,3.82,3.26,9535838.0,0.043,4.42,8.42,2.17,stated,-29% off ATHs in 3 weeks; 16% & 3 ATRs in 2 days
E08,9,Elijah,2025-11-07,NVDA,long,Daily OE Long + Extension into 50-SMA,11:10,late_morning,180.0,180.0,pivot,prior daily high/low,12,35,0.159,True,184.9,188.32,178.91,188.15,188.08,6.85,3.64,0.875,1.339,1.374,-1.69,0.04,3,0.424,7,-15.68,1.72,1.61,1.19,False,2.26,25.54,-4.88,1.34,-9.96,2.89,-11.65,3.44,-0.54,0.76,False,True,5.59,range,0.1,-0.36,-1.15,1.2,False,True,7.94,range,-0.32,-0.55,SMH,-1.21,5.1,False,True,12.88,range,-0.85,-1.3,19.25,-2.78,2.93,15-20,178.91,liberator_minute,11:11,178.91,True,184.89,182.42,0.513,179.47,11:12,0.081,178.23,1.24,18.1,False,7.12,0.41,13.74,287.0,1.9,4.36,7.08,33587085.0,0.016,7.12,16.48,2.66,stated,5 consecutive down days; -15% & 4 ATRs in 5 days; undercut 50-SMA; 1 ATR ext from open
E09,10,Elijah,2025-08-20,PLTR,long,Daily OE Long + Extension into 50-SMA,11:00,late_morning,,152.66,MA,SMA50,,,1.286,True,152.3,156.46,142.34,156.01,157.75,8.03,5.09,1.241,1.92,1.759,-3.45,-1.1,5,0.277,6,-25.08,2.26,3.17,1.6,False,2.19,48.31,-9.77,1.92,-19.66,4.34,-22.8,5.24,0.28,2.33,True,True,4.34,uptrend,-0.27,-0.06,-0.65,1.77,False,True,5.74,range,-0.59,-0.17,QQQ,-0.65,1.77,False,True,5.74,range,-0.59,-0.17,15.75,1.09,-1.75,15-20,142.34,liberator_minute,10:54,142.34,True,152.31,148.11,0.719,143.83,10:56,0.186,141.54,2.29,28.6,False,5.51,0.07,17.59,283.0,1.69,3.7,5.31,37104017.0,0.047,5.51,6.17,6.93,stated,5 ATRs in 5 consecutive down days; upper to lower BB in 7 days; volume doubles twice; range expansion; undercuts 50-SMA
E10,11,Elijah,2025-07-18,CRCL,short,Extension into Key Resistance,10:10,morning,263.0,263.0,pivot,prior daily high/low,17,1,0.001,False,244.9,262.97,222.49,223.78,235.08,22.11,9.4,0.817,1.262,1.831,4.18,-4.81,2,0.819,,310.89,1.46,1.11,1.47,False,,,11.86,1.26,34.63,3.06,40.38,3.42,1.57,4.38,True,True,6.35,uptrend,-0.07,0.2,2.02,5.55,True,True,7.58,uptrend,-0.1,0.23,SPY,1.57,4.38,True,True,6.35,uptrend,-0.07,0.2,16.45,-1.08,-3.45,15-20,262.97,liberator_minute,10:12,262.97,True,245.0,247.17,0.715,257.51,10:14,0.247,265.18,7.67,34.7,False,4.56,0.45,18.31,201.0,1.15,1.63,4.35,6020622.0,0.454,4.51,5.76,2.02,corrected,">1 ATR extension from LOD; slide says 07/20/25 (a Sunday) - actual event 2025-07-18, high 262.97 matches cited 263"
